feature_group	feature	Trimble Accubid Classic Estimating	Zavanti Building and Construction solutions	HeavyBid	BuilderTREND	UDA ConstructionSuite	Runjob	eDeneb Accounting	MasterLibrary ML Projects	Contractor V	247PRO, Inc.
Functionality	Project Management	1	1	1	1	1	1	1	1	0	1
Functionality	Estimating	1	1	1	1	1	0	1	1	0	1
Functionality	Accounting	1	0	1	1	1	0	1	1	0	1
Project Management Features	Bidding	1	0	1	1	1	1	0	1	0	1
Project Management Features	Change Orders	1	0	1	1	1	1	0	1	0	0
Project Management Features	Contract Management	1	1	0	0	1	0	0	1	0	0
Project Management Features	Cost Management	1	0	1	1	1	0	0	1	0	1
Project Management Features	Daily Log	0	0	0	1	0	0	0	1	0	0
Project Management Features	Document Management	1	1	1	1	1	1	0	1	0	0
Project Management Features	Equipment Management	0	0	1	0	0	0	0	1	0	0
Project Management Features	Facility Management	0	1	0	0	0	0	0	0	0	0
Project Management Features	Procurement	1	0	1	0	0	0	0	0	0	0
Project Management Features	Punch List	1	0	0	1	1	0	0	1	0	0
Project Management Features	RFIs/Submittals	0	0	0	1	1	1	0	1	0	0
Project Management Features	Scheduling	0	1	1	1	1	0	0	1	0	1
Project Management Features	Timecard	0	1	0	1	0	0	0	0	0	0
Estimating Features	Bid Comparison	1	0	1	1	0	1	0	0	0	0
Estimating Features	BIM Integration	1	0	0	0	0	0	0	0	0	0
Estimating Features	Conceptual Estimates	1	0	1	0	1	0	0	0	0	1
Estimating Features	Cost Database	1	1	1	1	1	0	0	1	0	0
Estimating Features	Digitizer Integration	1	0	0	0	0	0	0	0	0	0
Estimating Features	Excel/PDF File Import	1	0	0	0	0	0	0	1	0	0
Estimating Features	Item List	1	0	1	0	1	0	0	1	0	1
Estimating Features	On-Screen Takeoff	1	0	0	0	1	0	0	0	0	0
Estimating Features	Proposal Generator	0	0	1	0	0	0	0	1	0	1
Accounting Features	Accounts Payable	0	1	0	0	0	0	0	0	0	0
Accounting Features	Accounts Receivable	0	1	0	0	0	0	0	0	0	0
Accounting Features	AIA Billing	0	0	0	0	1	0	0	0	0	0
Accounting Features	Bank Reconciliation	0	1	0	0	0	0	0	0	0	0
Accounting Features	Fixed Assets	0	1	0	0	0	0	0	0	0	0
Accounting Features	General Ledger	0	1	0	0	0	0	0	0	0	0
Accounting Features	Inventory Management	1	0	0	0	0	0	0	0	0	0
Accounting Features	Job Costing	0	1	1	1	1	0	0	0	0	0
Accounting Features	Materials Management	1	0	0	0	0	0	0	0	0	1
Accounting Features	Payroll Processing	0	1	1	0	1	0	0	0	0	0
Accounting Features	Purchase Order	1	0	0	1	1	0	0	1	0	0
Accounting Features	Time & Materials Billing	1	0	0	1	1	0	0	1	0	1
Service Management Features	Dispatch	1	0	1	0	0	0	0	0	0	0
Service Management Features	Inventory Management	1	0	1	1	0	0	0	0	0	0
Service Management Features	Service Contracts	1	0	0	0	0	0	0	1	0	0
Service Management Features	Work Orders	1	0	1	1	1	0	0	1	0	0
Integration	API for Custom Integrations	1	0	0	0	0	0	0	0	0	0
Integration	Automatic Field Mapping	1	0	0	0	1	0	0	0	0	0
Integration	Bi-directional Sync	0	0	1	0	0	0	0	0	0	0
Reporting	Custom Reports	0	1	0	1	1	0	0	0	0	1
Reporting	Exportable Reports	0	0	0	0	1	0	0	0	0	0
Reporting	Permissions	0	0	0	0	1	0	0	0	0	0
Reporting	Regulatory	0	0	0	0	1	0	0	0	0	0
Reporting	User Actions	0	0	0	0	1	0	0	0	0	0
